Date,Price,Returns,State
1995-01-31,3832.10009765625,-0.006735933198273587,1
1995-02-01,3843.89990234375,0.0030744695107263833,2
1995-02-02,3847.60009765625,0.0009621518814147598,2
1995-02-03,3872.1201171875,0.006352588256657321,2
1995-02-06,3928.60009765625,0.014480962241750094,2
1995-02-07,3937.699951171875,0.002313630936615038,2
1995-02-08,3937.39990234375,-7.620191079518879e-05,2
1995-02-09,3935.39990234375,-0.0005080784708467057,2
1995-02-10,3932.699951171875,-0.0006863032569787491,0
1995-02-13,3939.10009765625,0.001626095138326609,2
1995-02-14,3954.199951171875,0.0038259971980888893,2
1995-02-15,3958.300048828125,0.0010363596899140876,2
1995-02-16,3986.199951171875,0.007023731397072323,0
1995-02-17,3969.68994140625,-0.004150392649553318,2
1995-02-21,3953.5,-0.004086728718810805,2
1995-02-22,3964.0,0.00265235393889689,2
1995-02-23,3973.72998046875,0.002451578818121147,2
1995-02-24,4003.300048828125,0.007413837905552731,2
1995-02-27,4011.699951171875,0.00209604626802277,2
1995-02-28,3988.60009765625,-0.005774762838612769,2
1995-03-01,4011.10009765625,0.0056252256413521235,2
1995-03-02,3994.800048828125,-0.004072014652413894,2
1995-03-03,3979.89990234375,-0.0037368587945748257,2
1995-03-06,3989.60009765625,0.0024343309122913576,0
1995-03-07,3997.60009765625,0.002003205749097621,2
1995-03-08,3962.60009765625,-0.00879380535406797,2
1995-03-09,3979.199951171875,0.004180381673653912,2
1995-03-10,3984.10009765625,0.0012306825242803584,2
1995-03-13,4035.60009765625,0.01284354943033711,2
1995-03-14,4025.60009765625,-0.002481021408045551,2
1995-03-15,4048.800048828125,0.00574656063489605,2
1995-03-16,4038.39990234375,-0.0025720032348456674,2
1995-03-17,4069.199951171875,0.007597858195229229,2
1995-03-20,4073.699951171875,0.0011052574665206306,2
1995-03-21,4083.699951171875,0.0024517628482111226,2
1995-03-22,4072.60009765625,-0.002721788139623313,2
1995-03-23,4083.0,0.00255037222431515,2
1995-03-24,4087.800048828125,0.001174927632943711,2
1995-03-27,4138.7001953125,0.012374836085397915,2
1995-03-28,4156.64990234375,0.004327661842941361,2
1995-03-29,4151.7998046875,-0.0011675097950145396,2
1995-03-30,4160.7998046875,0.0021653884319243278,2
1995-03-31,4172.2001953125,0.002736204905248899,2
1995-04-03,4157.7001953125,-0.0034814377040594444,2
1995-04-04,4168.41015625,0.0025726218827678803,0
1995-04-05,4201.60009765625,0.007930722749384812,2
1995-04-06,4200.60009765625,-0.0002380328917370003,2
1995-04-07,4205.39990234375,0.0011419950533285302,0
1995-04-10,4192.60009765625,-0.0030483006903929896,2
1995-04-11,4198.2001953125,0.0013348186805103733,2
1995-04-12,4187.10009765625,-0.0026475149969881055,2
1995-04-13,4197.7998046875,0.002552138478335595,2
1995-04-17,4208.2001953125,0.002474517233405307,2
1995-04-18,4195.39990234375,-0.0030463855298653833,2
1995-04-19,4179.10009765625,-0.0038927279886615054,2
1995-04-20,4207.5,0.00677271136591562,2
1995-04-21,4231.39990234375,0.005664237405310276,2
1995-04-24,4270.10009765625,0.009104384551700989,0
1995-04-25,4304.0,0.0079075538196479,2
1995-04-26,4300.2001953125,-0.000883244194293787,2
1995-04-27,4299.7998046875,-9.311409890445222e-05,2
1995-04-28,4314.7001953125,0.0034593779058050282,2
1995-05-01,4321.2998046875,0.0015283952431030979,2
1995-05-02,4316.10009765625,-0.0012039983601937771,2
1995-05-03,4328.89990234375,0.002961206255796592,2
1995-05-04,4373.10009765625,0.010158716486269944,2
1995-05-05,4359.7001953125,-0.003068869643379731,2
1995-05-08,4343.39990234375,-0.003745863392498952,2
1995-05-09,4383.89990234375,0.00928128782927911,2
1995-05-10,4390.7998046875,0.0015726814583440136,2
1995-05-11,4404.60009765625,0.0031380731852657423,2
1995-05-12,4411.2001953125,0.0014973340298185998,2
1995-05-15,4430.60009765625,0.004388231543857796,2
1995-05-16,4437.5,0.0015561176937814608,2
1995-05-17,4435.0,-0.0005635390399913477,2
1995-05-18,4422.259765625,-0.0028767911292116007,2
1995-05-19,4340.60009765625,-0.018638214729253266,2
1995-05-22,4341.330078125,0.00016816087107141345,2
1995-05-23,4395.60009765625,0.012423292033301406,2
1995-05-24,4436.39990234375,0.009239151928499573,2
1995-05-25,4438.16015625,0.00039669660641470923,2
1995-05-26,4412.2001953125,-0.0058664357963747575,2
1995-05-30,4377.0,-0.008009917337232076,2
1995-05-31,4378.7001953125,0.00038836307683996757,2
1995-06-01,4465.10009765625,0.019539711079652116,0
1995-06-02,4472.7998046875,0.0017229346983286067,2
1995-06-05,4444.39990234375,-0.0063697123087383765,2
1995-06-06,4476.60009765625,0.007218996783372103,2
1995-06-07,4484.5,0.0017631550377084013,2
1995-06-08,4462.0,-0.005029910565580015,2
1995-06-09,4458.2001953125,-0.0008519550759253679,2
1995-06-12,4424.0,-0.007700876714381669,2
1995-06-13,4447.2001953125,0.005230464355171322,2
1995-06-14,4484.5,0.008352278000715677,2
1995-06-15,4491.10009765625,0.0014706757819076689,2
1995-06-16,4496.60986328125,0.0012260667821178788,0
1995-06-19,4510.7998046875,0.003150728937187631,2
1995-06-20,4553.7001953125,0.009465654132596837,0
1995-06-21,4550.60009765625,-0.0006810183487597093,2
1995-06-22,4547.7998046875,-0.0006155572600079674,2
1995-06-23,4589.60009765625,0.009149338982286443,2
1995-06-26,4585.7998046875,-0.0008283656792090857,0
1995-06-27,4551.2998046875,-0.007551666377585025,2
1995-06-28,4542.60009765625,-0.0019133066734012647,0
1995-06-29,4556.7998046875,0.0031210230806425353,2
